game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
8,1997-05-13,ECS,5,CHI,ATL,W (+15),40,9,23,0.391,1,5,0.2,5,5,1,2,5,7,7,2,0,2,24,19.3,
9,1997-05-20,ECF,1,CHI,MIA,W (+7),42,15,31,0.484,0,2,0,7,10,0.7,3,6,9,3,1,1,2,37,24.6,
10,1997-05-22,ECF,2,CHI,MIA,W (+7),43,4,15,0.267,0,1,0,15,16,0.938,2,7,9,3,4,1,2,23,21.6,
11,1997-05-24,ECF,3,CHI,MIA,W (+24),36,14,25,0.56,1,2,0.5,5,5,1,3,5,8,1,1,0,3,34,23.2,
12,1997-05-26,ECF,4,CHI,MIA,L (-7),45,9,35,0.257,0,8,0,11,13,0.846,4,4,8,1,1,0,2,29,10.2,
13,1997-05-28,ECF,5,CHI,MIA,W (+13),43,11,31,0.355,1,4,0.25,5,6,0.833,1,5,6,5,2,2,4,28,13.8,
14,1997-06-01,FIN,1,CHI,UTA,W (+2),41,13,27,0.481,0,0,,5,7,0.714,1,3,4,8,0,1,0,31,23.2,
15,1997-06-04,FIN,2,CHI,UTA,W (+12),45,11,20,0.55,1,2,0.5,15,21,0.714,4,9,13,9,2,0,5,38,34,
16,1997-06-06,FIN,3,CHI,UTA,L (-11),41,9,22,0.409,4,10,0.4,4,5,0.8,0,3,3,6,1,2,1,26,19.9,
17,1997-06-08,FIN,4,CHI,UTA,L (-5),42,11,27,0.407,0,4,0,0,0,,1,3,4,4,0,0,3,22,7.7,
18,1997-06-11,FIN,5,CHI,UTA,W (+2),44,13,27,0.481,2,5,0.4,10,12,0.833,2,5,7,5,3,1,3,38,29.4,
19,1997-06-13,FIN,6,CHI,UTA,W (+4),44,15,35,0.429,1,4,0.25,8,10,0.8,1,10,11,4,1,1,1,39,26.1,
1,1998-04-24,EC1,1,CHI,NJN,W (+3),47,11,27,0.407,0,2,0,17,23,0.739,0,7,7,3,1,1,3,39,24.6,
2,1998-04-26,EC1,2,CHI,NJN,W (+5),39,9,19,0.474,0,0,,14,17,0.824,1,3,4,2,1,1,5,32,20,
3,1998-04-29,EC1,3,CHI,NJN,W (+15),44,16,22,0.727,2,2,1,4,5,0.8,2,2,4,3,2,1,2,38,32.6,
4,1998-05-03,ECS,1,CHI,CHH,W (+13),44,11,26,0.423,1,3,0.333,12,14,0.857,4,7,11,4,1,1,3,35,26.8,
