game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
22,2017-11-30,32-335,CLE,ATL,W (+7),38,8,11,0.727,3,6,0.5,5,7,0.714,1,5,6,12,2,2,3,24,28.5,10
23,2017-12-02,32-337,CLE,MEM,W (+5),39,13,22,0.591,0,3,0,8,8,1,0,2,2,12,0,1,5,34,28.1,-5
24,2017-12-04,32-339,CLE,CHI,W (+22),34,9,15,0.6,2,4,0.5,3,4,0.75,0,7,7,6,2,0,2,23,21.6,27
25,2017-12-06,32-341,CLE,SAC,W (+6),41,12,18,0.667,5,8,0.625,3,6,0.5,2,9,11,9,3,2,7,32,30.8,2
26,2017-12-08,32-343,CLE,IND,L (-4),39,12,22,0.545,1,5,0.2,4,5,0.8,2,8,10,8,1,2,3,29,26.4,3
27,2017-12-09,32-344,CLE,PHI,W (+7),39,9,23,0.391,2,6,0.333,10,12,0.833,3,10,13,13,3,0,6,30,27.5,-3
28,2017-12-12,32-347,CLE,ATL,W (+9),35,11,13,0.846,2,3,0.667,1,2,0.5,0,7,7,17,2,0,2,25,32.3,19
29,2017-12-14,32-349,CLE,LAL,W (+9),39,8,18,0.444,1,6,0.167,8,12,0.667,1,11,12,12,2,2,5,25,24.8,14
30,2017-12-16,32-351,CLE,UTA,W (+9),37,9,15,0.6,1,4,0.25,10,10,1,0,11,11,10,1,0,5,29,27.6,0
31,2017-12-17,32-352,CLE,WAS,W (+7),41,8,23,0.348,2,7,0.286,2,3,0.667,2,9,11,15,0,1,6,20,14.4,4
32,2017-12-19,32-354,CLE,MIL,L (-3),34,14,22,0.636,6,11,0.545,5,5,1,0,1,1,7,3,2,7,39,31.4,-7
33,2017-12-21,32-356,CLE,CHI,W (+3),39,12,23,0.522,2,5,0.4,8,8,1,1,5,6,9,3,0,4,34,29.8,5
34,2017-12-25,32-360,CLE,GSW,L (-7),40,7,18,0.389,2,7,0.286,4,7,0.571,1,5,6,6,0,0,7,20,7.6,-1
35,2017-12-27,32-362,CLE,SAC,L (-14),38,6,17,0.353,0,2,0,4,5,0.8,2,8,10,14,5,0,4,16,19.9,-11
36,2017-12-30,33-000,CLE,UTA,L (-3),37,12,22,0.545,1,7,0.143,4,5,0.8,1,7,8,6,2,1,6,29,21.3,-5
37,2018-01-02,33-003,CLE,POR,W (+17),34,10,17,0.588,0,2,0,4,4,1,1,5,6,8,4,1,3,24,24.8,0
38,2018-01-03,33-004,CLE,BOS,L (-14),33,8,15,0.533,0,2,0,3,3,1,0,7,7,6,1,1,4,19,15.3,-6
39,2018-01-06,33-007,CLE,ORL,W (+4),37,12,23,0.522,4,7,0.571,5,7,0.714,3,7,10,9,6,1,3,33,34.7,15
40,2018-01-08,33-009,CLE,MIN,L (-28),27,4,8,0.5,1,3,0.333,1,3,0.333,1,7,8,5,0,2,3,10,9.1,-39
41,2018-01-11,33-012,CLE,TOR,L (-34),32,9,16,0.563,0,1,0,8,10,0.8,0,3,3,1,1,2,2,26,19.2,-22
42,2018-01-12,33-013,CLE,IND,L (-2),40,11,25,0.44,2,9,0.222,3,4,0.75,2,6,8,11,3,1,5,27,22.3,-6
43,2018-01-15,33-016,CLE,GSW,L (-10),36,12,18,0.667,0,2,0,8,13,0.615,2,6,8,6,3,4,8,32,26.2,-14
44,2018-01-18,33-019,CLE,ORL,W (+1),35,7,16,0.438,0,4,0,2,8,0.25,1,4,5,6,1,0,6,16,5.9,-4
45,2018-01-20,33-021,CLE,OKC,L (-24),38,8,17,0.471,0,4,0,2,4,0.5,0,3,3,7,0,1,2,18,12.2,-33
46,2018-01-23,33-024,CLE,SAS,L (-12),38,10,23,0.435,2,6,0.333,6,10,0.6,2,7,9,7,0,1,5,28,18.4,-10
47,2018-01-26,33-027,CLE,IND,W (+7),40,11,17,0.647,0,2,0,4,5,0.8,0,10,10,11,4,1,11,26,22.5,12
48,2018-01-28,33-029,CLE,DET,W (+17),38,8,15,0.533,1,4,0.25,8,9,0.889,1,7,8,14,1,0,3,25,27.9,18
49,2018-01-30,33-031,CLE,DET,L (-11),38,9,20,0.45,2,7,0.286,1,2,0.5,0,6,6,7,0,1,4,21,12.8,-13
50,2018-01-31,33-032,CLE,MIA,W (+2),38,8,21,0.381,1,6,0.167,7,11,0.636,2,9,11,5,1,0,7,24,12.1,3
51,2018-02-03,33-035,CLE,HOU,L (-32),31,3,10,0.3,1,2,0.5,4,4,1,1,8,9,9,2,1,2,11,15.3,-17
52,2018-02-06,33-038,CLE,ORL,L (-18),33,10,17,0.588,2,4,0.5,3,4,0.75,1,9,10,5,1,0,6,25,17,-14
53,2018-02-07,33-039,CLE,MIN,W (+2),48,16,22,0.727,5,7,0.714,0,2,0,1,9,10,15,1,1,5,37,36.6,-1
54,2018-02-09,33-041,CLE,ATL,W (+16),41,8,20,0.4,0,3,0,6,7,0.857,2,10,12,19,0,0,3,22,24.7,12
55,2018-02-11,33-043,CLE,BOS,W (+22),28,9,20,0.45,2,5,0.4,4,7,0.571,0,8,8,10,1,1,2,24,21.1,23
56,2018-02-13,33-045,CLE,OKC,W (+8),40,14,23,0.609,3,7,0.429,6,10,0.6,0,8,8,8,0,1,5,37,28.2,-1
57,2018-02-22,33-054,CLE,WAS,L (-7),37,13,18,0.722,1,4,0.25,5,9,0.556,1,8,9,8,2,0,4,32,28.9,-10
58,2018-02-23,33-055,CLE,MEM,W (+23),37,7,16,0.438,0,2,0,4,4,1,0,14,14,11,1,0,3,18,19.5,18
59,2018-02-25,33-057,CLE,SAS,L (-16),40,14,25,0.56,2,5,0.4,3,4,0.75,2,11,13,9,1,0,6,33,25.5,-8
60,2018-02-27,33-059,CLE,BRK,W (+6),39,13,25,0.52,2,4,0.5,3,3,1,4,8,12,11,1,0,1,31,31.2,2
61,2018-03-01,33-061,CLE,PHI,L (-11),39,12,24,0.5,2,6,0.333,4,6,0.667,1,8,9,8,1,0,3,30,23.1,-8
62,2018-03-03,33-063,CLE,DEN,L (-9),42,8,19,0.421,1,4,0.25,8,11,0.727,1,9,10,15,2,0,3,25,25.8,-6
63,2018-03-05,33-065,CLE,DET,W (+22),29,11,17,0.647,5,7,0.714,4,6,0.667,2,5,7,7,1,0,3,31,27.7,14
64,2018-03-07,33-067,CLE,DEN,W (+5),39,15,25,0.6,5,8,0.625,4,8,0.5,1,7,8,10,1,0,3,39,32.9,8
65,2018-03-09,33-069,CLE,LAC,L (-14),39,11,20,0.55,3,7,0.429,0,2,0,0,10,10,6,2,3,5,25,20.1,-16
66,2018-03-11,33-071,CLE,LAL,L (-14),31,9,20,0.45,2,8,0.25,4,5,0.8,2,8,10,7,1,1,2,24,21.6,-13
67,2018-03-13,33-073,CLE,PHO,W (+22),33,7,14,0.5,1,2,0.5,13,15,0.867,0,12,12,11,3,2,5,28,30.1,23
68,2018-03-15,33-075,CLE,POR,L (-8),41,15,25,0.6,1,4,0.25,4,9,0.444,0,14,14,6,2,3,6,35,26.4,-3
69,2018-03-17,33-077,CLE,CHI,W (+5),40,15,26,0.577,2,8,0.25,1,4,0.25,1,12,13,12,1,2,6,33,27.5,-4
70,2018-03-19,33-079,CLE,MIL,W (+7),40,16,29,0.552,3,7,0.429,5,8,0.625,5,7,12,10,2,1,6,40,33.4,4
71,2018-03-21,33-081,CLE,TOR,W (+3),39,11,19,0.579,1,3,0.333,12,14,0.857,1,6,7,17,1,0,0,35,39.9,12
72,2018-03-23,33-083,CLE,PHO,W (+25),29,11,16,0.688,1,4,0.25,4,6,0.667,0,6,6,9,1,1,4,27,24,11
73,2018-03-25,33-085,CLE,BRK,W (+7),38,14,19,0.737,1,4,0.25,8,10,0.8,2,8,10,8,1,0,2,37,35.7,11
74,2018-03-27,33-087,CLE,MIA,L (-19),38,7,18,0.389,0,4,0,4,5,0.8,1,5,6,7,0,0,6,18,8.5,-19
75,2018-03-28,33-088,CLE,CHO,W (+13),37,14,26,0.538,4,8,0.5,9,11,0.818,2,8,10,8,1,0,4,41,33.6,21
76,2018-03-30,33-090,CLE,NOP,W (+5),42,12,24,0.5,0,4,0,3,3,1,1,8,9,11,1,0,1,27,25.8,16
77,2018-04-01,33-092,CLE,DAL,W (+11),39,5,21,0.238,2,3,0.667,4,4,1,3,10,13,12,0,0,2,16,14.4,7
78,2018-04-03,33-094,CLE,TOR,W (+6),37,8,14,0.571,3,6,0.5,8,11,0.727,0,10,10,6,0,0,5,27,20.6,12
79,2018-04-05,33-096,CLE,WAS,W (+4),39,12,20,0.6,2,7,0.286,7,10,0.7,2,7,9,14,0,0,6,33,29.1,13
80,2018-04-06,33-097,CLE,PHI,L (-2),40,17,29,0.586,4,8,0.5,6,11,0.545,1,10,11,11,2,1,8,44,34.6,7
81,2018-04-09,33-100,CLE,NYK,W (+14),39,7,16,0.438,3,6,0.5,9,10,0.9,0,6,6,11,1,0,4,26,22.9,14
82,2018-04-11,33-102,CLE,NYK,L (-12),11,4,9,0.444,0,2,0,2,3,0.667,1,4,5,2,1,0,3,10,6.2,5
1,2018-10-18,33-292,LAL,POR,L (-9),37,9,16,0.563,0,4,0,8,9,0.889,2,10,12,6,1,0,6,26,20.4,-4
2,2018-10-20,33-294,LAL,HOU,L (-9),39,9,22,0.409,1,7,0.143,5,7,0.714,0,5,5,5,2,1,1,24,18.1,-13
3,2018-10-22,33-296,LAL,SAS,L (-1),43,11,25,0.44,2,8,0.25,8,11,0.727,2,6,8,14,1,1,5,32,26.6,-5
4,2018-10-24,33-298,LAL,PHO,W (+18),28,7,16,0.438,1,5,0.2,4,4,1,0,7,7,10,3,0,0,19,22.3,19
5,2018-10-25,33-299,LAL,DEN,W (+7),35,10,17,0.588,1,5,0.2,7,10,0.7,0,11,11,11,3,0,2,28,29.7,13
6,2018-10-27,33-301,LAL,SAS,L (-4),34,13,21,0.619,2,6,0.333,7,8,0.875,1,10,11,4,2,0,4,35,28.4,-1
7,2018-10-29,33-303,LAL,MIN,L (-4),36,11,23,0.478,3,6,0.5,4,5,0.8,3,7,10,8,2,2,5,29,24.3,-6
8,2018-10-31,33-305,LAL,DAL,W (+1),39,11,19,0.579,2,3,0.667,5,7,0.714,0,5,5,6,3,0,3,29,23.8,5
9,2018-11-03,33-308,LAL,POR,W (+4),31,9,20,0.45,1,5,0.2,9,11,0.818,0,5,5,7,0,2,3,28,21.2,-22
10,2018-11-04,33-309,LAL,TOR,L (-14),28,6,12,0.5,2,3,0.667,4,7,0.571,0,2,2,6,0,1,3,18,12.1,-16
11,2018-11-07,33-312,LAL,MIN,W (+4),39,10,21,0.476,3,9,0.333,1,2,0.5,1,10,11,9,0,2,3,24,20.9,3
12,2018-11-10,33-315,LAL,SAC,W (+15),31,10,18,0.556,3,6,0.5,2,3,0.667,1,6,7,2,1,0,3,25,17.1,2
13,2018-11-11,33-316,LAL,ATL,W (+1),34,10,20,0.5,3,9,0.333,3,7,0.429,3,4,7,4,2,0,4,26,18.1,22
14,2018-11-14,33-319,LAL,POR,W (+9),36,13,19,0.684,5,6,0.833,13,15,0.867,2,8,10,9,1,3,4,44,44.3,4
15,2018-11-17,33-322,LAL,ORL,L (-13),26,8,19,0.421,3,6,0.5,3,4,0.75,0,4,4,7,0,1,3,22,15.3,-11
16,2018-11-18,33-323,LAL,MIA,W (+16),38,19,31,0.613,6,8,0.75,7,10,0.7,1,7,8,3,2,1,2,51,40.1,20
17,2018-11-21,33-326,LAL,CLE,W (+4),36,11,20,0.55,2,6,0.333,8,12,0.667,2,12,14,7,0,1,4,32,26.2,9
18,2018-11-23,33-328,LAL,UTA,W (+7),35,8,17,0.471,2,5,0.4,4,6,0.667,1,9,10,7,2,1,5,22,18.1,13
19,2018-11-25,33-330,LAL,ORL,L (-4),40,8,14,0.571,2,7,0.286,6,11,0.545,0,4,4,7,0,1,6,24,14.6,-14
20,2018-11-27,33-332,LAL,DEN,L (-32),30,5,15,0.333,0,4,0,4,6,0.667,0,7,7,2,2,2,4,14,7.6,-23
21,2018-11-29,33-334,LAL,IND,W (+8),38,15,27,0.556,2,7,0.286,6,10,0.6,1,8,9,7,2,0,4,38,28.7,19
22,2018-11-30,33-335,LAL,DAL,W (+11),31,12,21,0.571,2,4,0.5,2,4,0.5,2,3,5,4,0,1,4,28,17.9,10
23,2018-12-02,33-337,LAL,PHO,W (+24),31,9,17,0.529,1,5,0.2,3,4,0.75,0,6,6,8,0,1,5,22,16.4,12
24,2018-12-05,33-340,LAL,SAS,W (+8),40,15,24,0.625,3,7,0.429,9,13,0.692,0,5,5,6,2,0,2,42,34.9,19
25,2018-12-07,33-342,LAL,SAS,L (-13),37,13,28,0.464,3,8,0.375,6,9,0.667,2,6,8,11,2,0,1,35,29.7,-19
26,2018-12-08,33-343,LAL,MEM,W (+23),32,9,18,0.5,0,3,0,2,3,0.667,1,7,8,9,2,0,5,20,15.9,21
27,2018-12-10,33-345,LAL,MIA,W (+3),38,10,19,0.526,4,7,0.571,4,8,0.5,0,9,9,12,1,0,2,28,27.2,18
28,2018-12-13,33-348,LAL,HOU,L (-15),36,12,18,0.667,3,6,0.5,2,6,0.333,0,5,5,4,2,0,3,29,22.5,-9
29,2018-12-15,33-350,LAL,CHO,W (+28),30,7,15,0.467,2,6,0.333,8,12,0.667,1,11,12,11,1,0,3,24,24.4,31
30,2018-12-16,33-351,LAL,WAS,L (-18),32,5,16,0.313,0,2,0,3,6,0.5,0,6,6,3,0,1,4,13,3.2,-21
31,2018-12-18,33-353,LAL,BRK,L (-5),41,13,23,0.565,2,7,0.286,8,13,0.615,1,12,13,8,1,1,5,36,29.3,4
32,2018-12-21,33-356,LAL,NOP,W (+8),39,8,20,0.4,0,4,0,6,9,0.667,2,10,12,14,2,0,2,22,23,13
33,2018-12-23,33-358,LAL,MEM,L (-8),36,8,14,0.571,2,5,0.4,4,4,1,1,13,14,7,1,1,4,22,22.6,-3
34,2018-12-25,33-360,LAL,GSW,W (+26),21,6,11,0.545,0,2,0,5,8,0.625,2,11,13,5,1,0,2,17,17.3,5
35,2019-01-31,34-032,LAL,LAC,W (+3),40,9,22,0.409,1,6,0.167,5,7,0.714,1,13,14,9,1,0,4,24,19.3,2
36,2019-02-05,34-037,LAL,IND,L (-42),30,7,12,0.583,2,5,0.4,2,3,0.667,0,7,7,9,1,0,6,18,15,-17
37,2019-02-07,34-039,LAL,BOS,W (+1),38,11,21,0.524,5,10,0.5,1,5,0.2,2,10,12,12,3,0,3,28,27.3,11
38,2019-02-10,34-042,LAL,PHI,L (-23),33,8,16,0.5,2,6,0.333,0,0,,0,10,10,9,0,0,4,18,14.1,0
39,2019-02-12,34-044,LAL,ATL,L (-4),43,8,20,0.4,3,10,0.3,9,11,0.818,2,9,11,16,3,1,2,28,32.2,0
40,2019-02-21,34-053,LAL,HOU,W (+5),40,11,23,0.478,0,4,0,7,10,0.7,4,8,12,6,1,1,4,29,22.8,6
41,2019-02-23,34-055,LAL,NOP,L (-13),39,11,17,0.647,3,6,0.5,2,6,0.333,0,7,7,12,4,1,4,27,29.1,-10
42,2019-02-25,34-057,LAL,MEM,L (-5),40,8,23,0.348,0,4,0,8,10,0.8,3,9,12,11,3,0,5,24,19.6,2
43,2019-02-27,34-059,LAL,NOP,W (+6),37,13,24,0.542,4,9,0.444,3,8,0.375,1,5,6,10,2,1,2,33,28.5,2
44,2019-03-01,34-061,LAL,MIL,L (-11),39,10,19,0.526,3,8,0.375,8,10,0.8,2,5,7,10,1,0,3,31,28,-4
45,2019-03-02,34-062,LAL,PHO,L (-9),41,10,21,0.476,4,9,0.444,3,7,0.429,0,9,9,16,0,0,3,27,24.8,-1
46,2019-03-04,34-064,LAL,LAC,L (-8),42,9,18,0.5,1,6,0.167,8,12,0.667,0,8,8,6,1,1,2,27,21.5,-11
47,2019-03-06,34-066,LAL,DEN,L (-16),31,13,22,0.591,2,7,0.286,3,8,0.375,0,7,7,7,1,1,4,31,21.9,-8
48,2019-03-09,34-069,LAL,BOS,L (-13),28,13,23,0.565,1,5,0.2,3,7,0.429,2,8,10,12,0,0,3,30,26.7,11
49,2019-03-12,34-072,LAL,CHI,W (+16),33,15,23,0.652,2,4,0.5,4,5,0.8,1,9,10,4,2,0,5,36,27.9,9
50,2019-03-14,34-074,LAL,TOR,L (-13),32,12,23,0.522,1,5,0.2,4,7,0.571,0,4,4,6,1,0,4,29,18.1,0
51,2019-03-17,34-077,LAL,NYK,L (-1),35,11,26,0.423,0,6,0,11,13,0.846,2,4,6,8,0,1,2,33,24.5,9
52,2019-03-22,34-082,LAL,BRK,L (-5),37,8,25,0.32,1,7,0.143,8,12,0.667,3,6,9,14,1,1,8,25,15.3,-2
53,2019-03-24,34-084,LAL,SAC,W (+5),35,9,22,0.409,3,6,0.5,8,9,0.889,2,9,11,11,2,1,4,29,26.9,5
54,2019-03-26,34-086,LAL,WAS,W (+18),34,11,20,0.55,1,6,0.167,0,2,0,0,7,7,14,1,0,3,23,22.1,3
55,2019-03-29,34-089,LAL,CHO,W (+14),32,11,19,0.579,4,7,0.571,1,2,0.5,0,3,3,9,0,0,6,27,18.5,14
1,2019-10-22,34-296,LAL,LAC,L (-10),36,7,19,0.368,1,5,0.2,3,4,0.75,1,9,10,8,1,1,5,18,11.6,-8
2,2019-10-25,34-299,LAL,UTA,W (+9),31,12,22,0.545,1,4,0.25,7,8,0.875,2,5,7,10,1,0,1,32,30.9,17
3,2019-10-27,34-301,LAL,CHO,W (+19),35,7,14,0.5,1,3,0.333,5,5,1,1,5,6,12,1,0,4,20,20.6,17
4,2019-10-29,34-303,LAL,MEM,W (+29),28,8,15,0.533,2,5,0.4,5,7,0.714,0,2,2,8,0,1,6,23,15.8,2
5,2019-11-01,34-306,LAL,DAL,W (+9),43,13,23,0.565,4,9,0.444,9,11,0.818,0,12,12,16,4,1,4,39,40.8,15
6,2019-11-03,34-308,LAL,SAS,W (+7),37,8,23,0.348,0,6,0,5,10,0.5,1,10,11,13,2,1,5,21,15.8,15
7,2019-11-05,34-310,LAL,CHI,W (+6),35,10,19,0.526,2,6,0.333,8,9,0.889,0,10,10,11,2,1,2,30,30.5,17
8,2019-11-08,34-313,LAL,MIA,W (+15),36,10,19,0.526,4,7,0.571,1,2,0.5,1,3,4,6,0,0,3,25,17.3,16
9,2019-11-10,34-315,LAL,TOR,L (-9),35,5,15,0.333,0,2,0,3,6,0.5,3,10,13,15,0,1,2,13,17.6,-6
10,2019-11-12,34-317,LAL,PHO,W (+8),37,8,18,0.444,1,4,0.25,2,7,0.286,0,7,7,11,0,0,1,19,16.4,-2
11,2019-11-13,34-318,LAL,GSW,W (+26),26,11,21,0.524,1,5,0.2,0,1,0,2,4,6,12,1,1,4,23,20.6,13
12,2019-11-15,34-320,LAL,SAC,W (+2),39,10,20,0.5,2,7,0.286,7,7,1,3,1,4,11,3,0,2,29,29.7,13
13,2019-11-17,34-322,LAL,ATL,W (+21),33,13,21,0.619,6,10,0.6,1,1,1,0,7,7,12,1,1,0,33,35.3,30
14,2019-11-19,34-324,LAL,OKC,W (+5),37,10,21,0.476,2,5,0.4,3,5,0.6,0,11,11,10,2,0,7,25,18,6
15,2019-11-22,34-327,LAL,OKC,W (+3),36,9,20,0.45,1,3,0.333,4,6,0.667,1,5,6,14,1,1,5,23,19.7,3
16,2019-11-23,34-328,LAL,MEM,W (+1),39,14,27,0.519,2,9,0.222,0,0,,1,5,6,4,2,0,5,30,18.3,7
17,2019-11-25,34-330,LAL,SAS,W (+10),35,13,24,0.542,4,7,0.571,3,8,0.375,1,3,4,14,0,1,3,33,27.7,6
18,2019-11-27,34-332,LAL,NOP,W (+4),38,10,18,0.556,2,6,0.333,7,11,0.636,2,3,5,11,2,1,5,29,25.7,3
19,2019-11-29,34-334,LAL,WAS,W (+22),25,9,16,0.563,4,8,0.5,1,2,0.5,0,3,3,11,2,1,6,23,19.9,20
20,2019-12-01,34-336,LAL,DAL,L (-14),36,11,20,0.55,0,5,0,3,3,1,0,9,9,8,4,0,6,25,20.5,-16
21,2019-12-03,34-338,LAL,DEN,W (+9),37,9,18,0.5,1,4,0.25,6,6,1,2,4,6,9,0,0,4,25,19.7,4
22,2019-12-04,34-339,LAL,UTA,W (+25),29,9,21,0.429,1,6,0.167,1,1,1,0,4,4,12,1,0,1,20,17.3,14
23,2019-12-06,34-341,LAL,POR,W (+23),34,11,23,0.478,4,9,0.444,5,7,0.714,1,6,7,8,0,1,3,31,23.9,21
24,2019-12-08,34-343,LAL,MIN,W (+17),28,12,20,0.6,6,8,0.75,2,2,1,1,3,4,13,1,0,5,32,27.9,24
25,2019-12-11,34-346,LAL,ORL,W (+9),38,11,24,0.458,1,6,0.167,2,5,0.4,2,9,11,10,2,0,6,25,17.7,8
26,2019-12-13,34-348,LAL,MIA,W (+3),37,11,22,0.5,4,8,0.5,2,4,0.5,2,7,9,12,1,0,8,28,20.3,9
27,2019-12-15,34-350,LAL,ATL,W (+5),37,12,21,0.571,4,10,0.4,4,7,0.571,1,12,13,7,1,3,4,32,28.8,10
28,2019-12-17,34-352,LAL,IND,L (-3),35,8,20,0.4,0,6,0,4,8,0.5,1,8,9,9,0,0,5,20,11.2,-9
29,2019-12-19,34-354,LAL,MIL,L (-7),37,8,19,0.421,3,7,0.429,2,2,1,0,12,12,11,0,0,4,21,16.2,-14
30,2019-12-25,34-360,LAL,LAC,L (-5),39,9,24,0.375,2,12,0.167,3,4,0.75,3,6,9,10,2,1,2,23,19.8,3
31,2019-12-28,34-363,LAL,POR,W (+8),37,7,15,0.467,1,4,0.25,6,8,0.75,1,6,7,16,2,1,1,21,27.1,5
32,2019-12-29,34-364,LAL,DAL,W (+13),34,3,10,0.3,2,4,0.5,5,6,0.833,0,6,6,13,2,0,2,13,16.9,5
33,2020-01-01,35-002,LAL,PHO,W (+10),38,11,21,0.524,1,4,0.25,8,12,0.667,2,11,13,12,2,1,5,31,29.9,18
34,2020-01-03,35-004,LAL,NOP,W (+10),37,7,17,0.412,1,3,0.333,2,5,0.4,0,8,8,15,2,0,2,17,19.2,17
35,2020-01-05,35-006,LAL,DET,W (+7),35,10,21,0.476,0,3,0,1,2,0.5,3,11,14,11,0,0,3,21,19.2,23
36,2020-01-07,35-008,LAL,NYK,W (+30),31,9,19,0.474,6,12,0.5,7,7,1,0,5,5,5,2,1,4,31,24.2,26
37,2020-01-10,35-011,LAL,DAL,W (+15),32,14,25,0.56,3,6,0.5,4,5,0.8,2,14,16,7,1,0,3,35,31.2,13
38,2020-01-13,35-014,LAL,CLE,W (+29),33,12,16,0.75,1,3,0.333,6,7,0.857,0,2,2,8,1,0,3,31,27.6,19
39,2020-01-15,35-016,LAL,ORL,L (-1),36,7,19,0.368,2,9,0.222,3,5,0.6,0,3,3,19,1,0,5,19,17.5,-9
40,2020-01-18,35-019,LAL,HOU,W (+9),35,13,25,0.52,2,7,0.286,3,5,0.6,0,5,5,12,2,0,6,31,22.6,2
41,2020-01-20,35-021,LAL,BOS,L (-32),29,5,12,0.417,0,2,0,5,5,1,3,4,7,13,0,0,4,15,16.6,-21
42,2020-01-22,35-023,LAL,NYK,W (+8),36,9,16,0.563,2,5,0.4,1,3,0.333,0,6,6,5,5,0,4,21,18.9,13
43,2020-01-23,35-024,LAL,BRK,W (+15),34,11,19,0.579,3,6,0.5,2,2,1,2,9,11,10,1,1,5,27,25.9,26
44,2020-01-25,35-026,LAL,PHI,L (-17),35,9,18,0.5,1,6,0.167,10,13,0.769,0,7,7,8,1,0,8,29,18.3,-22
45,2020-01-31,35-032,LAL,POR,L (-8),38,9,22,0.409,3,8,0.375,1,4,0.25,2,6,8,10,0,1,5,22,14.1,7
46,2020-02-01,35-033,LAL,SAC,W (+16),34,6,15,0.4,1,4,0.25,2,3,0.667,0,10,10,11,2,0,2,15,16,33
47,2020-02-04,35-036,LAL,SAS,W (+27),34,12,20,0.6,6,9,0.667,6,9,0.667,1,6,7,9,1,0,2,36,33,20
48,2020-02-06,35-038,LAL,HOU,L (-10),37,8,19,0.421,1,8,0.125,1,1,1,2,7,9,15,2,0,6,18,17.9,-4
49,2020-02-08,35-040,LAL,GSW,W (+5),34,7,17,0.412,3,8,0.375,5,6,0.833,0,8,8,11,1,0,7,22,15.8,6
50,2020-02-10,35-042,LAL,PHO,W (+25),30,6,16,0.375,3,6,0.5,2,4,0.5,0,8,8,9,1,0,8,17,8.3,16
51,2020-02-12,35-044,LAL,DEN,W (+4),42,15,29,0.517,1,7,0.143,1,4,0.25,1,11,12,14,0,0,3,32,26.1,4
52,2020-02-21,35-053,LAL,MEM,W (+12),36,10,17,0.588,1,4,0.25,11,12,0.917,0,3,3,7,0,2,1,32,29.9,6
53,2020-02-23,35-055,LAL,BOS,W (+2),35,9,19,0.474,4,10,0.4,7,12,0.583,0,8,8,9,0,0,2,29,22.4,-1
54,2020-02-25,35-057,LAL,NOP,W (+9),34,17,27,0.63,5,11,0.455,1,2,0.5,2,6,8,6,0,1,7,40,28.2,12
55,2020-02-29,35-061,LAL,MEM,L (-17),34,8,18,0.444,2,8,0.25,1,2,0.5,2,6,8,10,1,1,5,19,15.7,-12
56,2020-03-01,35-062,LAL,NOP,W (+8),36,14,21,0.667,3,5,0.6,3,3,1,0,12,12,13,2,0,6,34,32.8,22
57,2020-03-03,35-064,LAL,PHI,W (+13),34,9,16,0.563,2,5,0.4,2,3,0.667,1,6,7,14,1,2,3,22,25.3,-2
58,2020-03-06,35-067,LAL,MIL,W (+10),37,12,21,0.571,1,7,0.143,12,15,0.8,0,8,8,8,3,0,4,37,31.3,8
59,2020-03-08,35-069,LAL,LAC,W (+9),35,7,17,0.412,2,6,0.333,12,14,0.857,2,6,8,9,0,2,2,28,25.8,7
60,2020-03-10,35-071,LAL,BRK,L (-2),35,12,22,0.545,4,9,0.444,1,5,0.2,1,11,12,9,1,0,3,29,24.7,8
61,2020-07-30,35-213,LAL,LAC,W (+2),34,6,19,0.316,2,7,0.286,2,2,1,2,9,11,7,1,1,5,16,9.6,-4
62,2020-08-01,35-215,LAL,TOR,L (-15),35,7,15,0.467,2,5,0.4,4,7,0.571,1,9,10,5,0,1,4,20,14.3,-20
63,2020-08-03,35-217,LAL,UTA,W (+8),35,9,16,0.563,2,5,0.4,2,2,1,1,7,8,9,2,1,4,22,21,0
64,2020-08-05,35-219,LAL,OKC,L (-19),30,7,19,0.368,0,5,0,5,8,0.625,1,10,11,4,1,0,0,19,14.4,-8
65,2020-08-08,35-222,LAL,IND,L (-5),35,13,24,0.542,2,6,0.333,3,6,0.5,1,7,8,7,0,1,1,31,24,13
66,2020-08-10,35-224,LAL,DEN,W (+3),38,9,21,0.429,5,11,0.455,6,10,0.6,0,1,1,12,0,2,5,29,21.4,-10
67,2020-08-13,35-227,LAL,SAC,L (-14),15,6,13,0.462,2,5,0.4,3,3,1,1,2,3,4,0,0,3,17,11.4,-13
