game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
54,2014-03-01,29-061,MIA,ORL,W (+14),31,8,12,0.667,0,2,0,4,5,0.8,1,8,9,7,4,0,2,20,24,14
55,2014-03-03,29-063,MIA,CHA,W (+17),41,22,33,0.667,8,10,0.8,9,12,0.75,3,4,7,4,0,0,2,61,48.8,16
56,2014-03-04,29-064,MIA,HOU,L (-3),37,9,18,0.5,0,3,0,4,6,0.667,1,0,1,6,3,0,1,22,18.7,-15
57,2014-03-06,29-066,MIA,SAS,L (-24),38,6,18,0.333,0,3,0,7,9,0.778,3,5,8,7,2,0,5,19,11.5,-10
58,2014-03-09,29-069,MIA,CHI,L (-7),45,8,23,0.348,1,3,0.333,0,0,,1,8,9,8,3,1,4,17,12.1,6
59,2014-03-10,29-070,MIA,WAS,W (+9),37,10,15,0.667,3,4,0.75,0,0,,2,5,7,8,3,0,3,23,23.8,16
60,2014-03-12,29-072,MIA,BRK,L (-1),38,6,13,0.462,1,4,0.25,6,9,0.667,0,5,5,7,3,0,5,19,15.1,2
61,2014-03-14,29-074,MIA,DEN,L (-4),40,8,17,0.471,0,4,0,5,7,0.714,0,6,6,6,1,0,4,21,13.3,-8
62,2014-03-16,29-076,MIA,HOU,W (+9),43,8,17,0.471,1,3,0.333,7,8,0.875,0,5,5,6,2,0,5,24,16.4,11
63,2014-03-18,29-078,MIA,CLE,W (+4),42,14,19,0.737,6,8,0.75,9,13,0.692,0,6,6,4,2,3,0,43,42,11
64,2014-03-21,29-081,MIA,MEM,W (+5),38,7,14,0.5,0,2,0,1,2,0.5,1,5,6,7,2,1,3,15,14.4,4
65,2014-03-22,29-082,MIA,NOP,L (-10),42,10,18,0.556,2,4,0.5,3,3,1,1,7,8,9,0,1,3,25,22.8,-6
66,2014-03-24,29-084,MIA,POR,W (+2),38,13,23,0.565,0,1,0,6,9,0.667,4,2,6,5,4,0,5,32,25,4
67,2014-03-26,29-086,MIA,IND,L (-1),43,11,19,0.579,2,6,0.333,14,15,0.933,0,8,8,5,0,0,6,38,27.4,2
68,2014-03-28,29-088,MIA,DET,W (+32),30,7,13,0.538,1,3,0.333,2,2,1,2,8,10,12,1,0,1,17,22.9,32
69,2014-03-29,29-089,MIA,MIL,W (+21),30,5,10,0.5,1,3,0.333,2,4,0.5,2,5,7,2,0,0,4,13,7.1,19
70,2014-03-31,29-091,MIA,TOR,W (+10),39,11,20,0.55,1,6,0.167,9,11,0.818,0,7,7,8,1,0,6,32,23.5,22
71,2014-04-02,29-093,MIA,MIL,W (+19),29,7,12,0.583,1,3,0.333,2,5,0.4,0,4,4,8,1,1,2,17,16.7,18
72,2014-04-04,29-095,MIA,MIN,L (-1),48,12,24,0.5,2,4,0.5,8,10,0.8,2,6,8,5,4,1,4,34,26.6,7
73,2014-04-06,29-097,MIA,NYK,W (+11),43,13,22,0.591,3,7,0.429,9,12,0.75,0,5,5,6,1,0,5,38,28.3,2
74,2014-04-08,29-099,MIA,BRK,L (-1),37,9,16,0.563,0,3,0,11,14,0.786,1,9,10,6,2,0,3,29,26.8,-2
75,2014-04-09,29-100,MIA,MEM,L (-5),41,14,23,0.609,3,5,0.6,6,7,0.857,1,5,6,5,2,0,5,37,28.4,-8
76,2014-04-11,29-102,MIA,IND,W (+12),35,11,20,0.55,2,4,0.5,12,13,0.923,1,5,6,1,1,1,2,36,28.2,13
77,2014-04-12,29-103,MIA,ATL,L (-13),37,10,22,0.455,3,7,0.429,4,8,0.5,3,5,8,5,0,1,3,27,18,-13
1,2014-10-30,29-304,CLE,NYK,L (-5),43,5,15,0.333,1,5,0.2,6,7,0.857,0,5,5,4,0,0,8,17,3.2,-13
